Date,Product_Name,Category,Sub_category,Price,Discount,Sales_d,Revenue_d,M_Spend,Rating,Supply_Chain_E,Market_T,Seasonality_T,Success_Percentage
2025-01-01,Air Fryer Pro,Kitchen,Appliances,1660,10,57,85158,8265,3.7,70,50,53,56
2025-01-01,Yoga Mat Plus,Sports,Fitness,4244,15,70,252518,10322,3.5,61,63,73,70
2025-01-01,Smart Watch Neo,Electronics,Wearables,3233,15,41,112670,8396,4.1,86,81,57,41
2025-01-01,Blender Max,Kitchen,Appliances,3547,10,36,114922,3899,4.2,62,76,80,36
2025-01-01,Running Shoes X,Footwear,Sportswear,1446,20,45,52056,10792,4.8,68,65,82,45
2025-01-01,Coffee Maker Lite,Kitchen,Appliances,2163,15,49,90088,7486,4.4,67,86,64,49
2025-01-01,LED Desk Lamp,Home,Lighting,3952,15,58,194833,3021,4.2,63,68,47,57
2025-01-01,Gaming Headset Z,Electronics,Accessories,961,5,39,35605,2995,4.3,74,47,43,39
2025-01-01,Water Bottle Steel,Sports,Hydration,4598,15,48,187598,8863,4.5,83,65,54,48
2025-01-01,Wireless Mouse Pro,Electronics,Computing,5659,15,45,216456,10571,3.9,88,54,74,45
2025-01-02,Air Fryer Pro,Kitchen,Appliances,864,0,58,50112,7892,4.7,87,46,38,57
2025-01-02,Yoga Mat Plus,Sports,Fitness,5675,5,63,339648,5104,3.6,82,63,66,63
2025-01-02,Smart Watch Neo,Electronics,Wearables,3531,10,19,60380,10110,4.4,60,44,55,19
2025-01-02,Blender Max,Kitchen,Appliances,1302,10,66,77338,6488,4.4,85,81,42,66
2025-01-02,Running Shoes X,Footwear,Sportswear,1663,0,51,84813,3757,3.7,74,82,58,51
2025-01-02,Coffee Maker Lite,Kitchen,Appliances,1859,20,20,29744,11914,4.4,87,41,71,20
2025-01-02,LED Desk Lamp,Home,Lighting,2397,0,48,115056,5627,4.0,70,67,54,48
2025-01-02,Gaming Headset Z,Electronics,Accessories,4102,0,35,143570,3306,4.1,72,80,32,35
2025-01-02,Water Bottle Steel,Sports,Hydration,1509,10,28,38026,2663,4.7,91,71,53,28
2025-01-02,Wireless Mouse Pro,Electronics,Computing,4104,15,43,150001,7232,3.6,71,78,31,43
2025-01-03,Air Fryer Pro,Kitchen,Appliances,2436,0,49,119364,2854,3.9,92,40,48,49
2025-01-03,Yoga Mat Plus,Sports,Fitness,5972,15,55,279191,7791,4.2,63,50,46,55
2025-01-03,Smart Watch Neo,Electronics,Wearables,1566,20,71,88948,3930,4.6,75,72,38,71
2025-01-03,Blender Max,Kitchen,Appliances,1947,10,70,122661,4511,3.6,79,75,48,70
2025-01-03,Running Shoes X,Footwear,Sportswear,2169,10,41,80036,3734,3.7,92,79,68,41
2025-01-03,Coffee Maker Lite,Kitchen,Appliances,3185,0,66,210210,3802,3.9,84,89,52,66
2025-01-03,LED Desk Lamp,Home,Lighting,4861,5,62,286312,10815,4.2,61,40,77,62
2025-01-03,Gaming Headset Z,Electronics,Accessories,4523,20,31,112170,5108,4.6,68,80,64,31
2025-01-03,Water Bottle Steel,Sports,Hydration,2482,10,45,100521,11888,4.3,70,88,37,45
2025-01-03,Wireless Mouse Pro,Electronics,Computing,2245,15,65,124036,10445,3.5,84,74,54,65
2025-01-04,Air Fryer Pro,Kitchen,Appliances,3761,5,6,21437,2956,3.8,92,43,62,6
2025-01-04,Yoga Mat Plus,Sports,Fitness,5293,20,37,156672,6911,4.5,67,46,32,37
2025-01-04,Smart Watch Neo,Electronics,Wearables,5296,0,59,312464,5446,3.8,89,77,67,59
2025-01-04,Blender Max,Kitchen,Appliances,4236,10,95,362178,7895,4.3,93,60,59,95
2025-01-04,Running Shoes X,Footwear,Sportswear,1759,0,59,103781,9683,3.5,76,83,57,59
2025-01-04,Coffee Maker Lite,Kitchen,Appliances,3005,20,37,88948,3069,4.7,94,80,66,37
2025-01-04,LED Desk Lamp,Home,Lighting,3127,20,57,142591,5170,4.8,80,71,52,56
2025-01-04,Gaming Headset Z,Electronics,Accessories,1984,10,48,85708,10319,4.0,90,42,69,48
2025-01-04,Water Bottle Steel,Sports,Hydration,3533,5,50,167817,3409,3.9,92,48,72,50
2025-01-04,Wireless Mouse Pro,Electronics,Computing,5141,20,32,131609,7801,4.6,94,89,54,32
2025-01-05,Air Fryer Pro,Kitchen,Appliances,3255,20,32,83328,8655,4.0,73,51,80,32
2025-01-05,Yoga Mat Plus,Sports,Fitness,1966,15,57,95252,7919,4.3,81,64,51,56
2025-01-05,Smart Watch Neo,Electronics,Wearables,2515,5,42,100348,4491,3.9,67,83,73,42
2025-01-05,Blender Max,Kitchen,Appliances,804,15,66,45104,6869,3.6,89,86,64,66
2025-01-05,Running Shoes X,Footwear,Sportswear,5164,5,19,93210,6752,4.0,78,67,84,19
2025-01-05,Coffee Maker Lite,Kitchen,Appliances,2169,20,52,90230,10308,3.6,68,51,82,52
2025-01-05,LED Desk Lamp,Home,Lighting,2464,5,48,112358,9805,3.6,84,79,74,48
2025-01-05,Gaming Headset Z,Electronics,Accessories,5792,20,62,287283,6070,4.4,64,61,58,62
2025-01-05,Water Bottle Steel,Sports,Hydration,3094,10,39,108599,9253,3.5,73,67,34,39
2025-01-05,Wireless Mouse Pro,Electronics,Computing,3918,0,30,117540,4141,4.6,64,51,45,30
2025-01-06,Air Fryer Pro,Kitchen,Appliances,3065,5,5,14558,9421,4.1,82,49,83,5
2025-01-06,Yoga Mat Plus,Sports,Fitness,3649,15,34,105456,9390,3.5,78,71,30,34
2025-01-06,Smart Watch Neo,Electronics,Wearables,1815,20,64,92928,10527,4.3,87,71,56,64
2025-01-06,Blender Max,Kitchen,Appliances,1651,15,73,102444,8833,4.2,92,72,80,73
2025-01-06,Running Shoes X,Footwear,Sportswear,4298,20,67,230372,5913,3.8,88,52,41,67
2025-01-06,Coffee Maker Lite,Kitchen,Appliances,4173,5,56,222003,10945,4.4,76,65,37,56
2025-01-06,LED Desk Lamp,Home,Lighting,2425,5,49,112883,2825,4.4,70,68,65,49
2025-01-06,Gaming Headset Z,Electronics,Accessories,1528,20,24,29337,9164,3.9,69,76,38,24
2025-01-06,Water Bottle Steel,Sports,Hydration,3767,10,49,166124,7073,3.8,91,63,52,49
2025-01-06,Wireless Mouse Pro,Electronics,Computing,4932,15,51,213802,5440,4.4,82,64,64,51
2025-01-07,Air Fryer Pro,Kitchen,Appliances,5768,0,45,259560,2728,3.9,78,88,65,45
2025-01-07,Yoga Mat Plus,Sports,Fitness,1195,20,98,93688,9400,4.6,68,46,57,98
2025-01-07,Smart Watch Neo,Electronics,Wearables,1517,15,78,100577,6980,3.6,71,64,81,78
2025-01-07,Blender Max,Kitchen,Appliances,3738,20,65,194376,9651,4.7,75,78,74,65
2025-01-07,Running Shoes X,Footwear,Sportswear,5961,5,51,288810,11348,4.5,88,82,40,51
2025-01-07,Coffee Maker Lite,Kitchen,Appliances,5646,15,39,187164,9241,4.6,76,77,36,39
2025-01-07,LED Desk Lamp,Home,Lighting,1991,5,63,119161,11409,3.6,78,47,77,63
2025-01-07,Gaming Headset Z,Electronics,Accessories,2188,0,46,100648,3365,4.6,66,64,74,46
2025-01-07,Water Bottle Steel,Sports,Hydration,1955,15,39,64808,8588,4.0,86,49,55,39
2025-01-07,Wireless Mouse Pro,Electronics,Computing,4402,10,46,182242,6268,3.5,87,59,57,46
2025-01-08,Air Fryer Pro,Kitchen,Appliances,1255,20,58,58232,8530,4.3,84,72,67,57
2025-01-08,Yoga Mat Plus,Sports,Fitness,933,5,60,53181,5627,4.8,80,55,83,60
2025-01-08,Smart Watch Neo,Electronics,Wearables,4084,10,47,172753,8190,4.3,73,54,60,47
2025-01-08,Blender Max,Kitchen,Appliances,4384,20,54,189388,10053,4.0,82,50,41,54
2025-01-08,Running Shoes X,Footwear,Sportswear,2153,15,45,82352,11337,3.7,85,47,79,45
2025-01-08,Coffee Maker Lite,Kitchen,Appliances,1339,15,38,43249,6964,4.8,86,56,38,38
2025-01-08,LED Desk Lamp,Home,Lighting,5824,20,58,270233,2924,3.7,94,45,47,57
2025-01-08,Gaming Headset Z,Electronics,Accessories,1055,20,64,54016,3838,4.7,69,69,79,64
2025-01-08,Water Bottle Steel,Sports,Hydration,5772,20,48,221644,4193,4.8,70,60,55,48
2025-01-08,Wireless Mouse Pro,Electronics,Computing,4958,0,45,223110,5925,4.6,72,72,63,45
2025-01-09,Air Fryer Pro,Kitchen,Appliances,2952,10,53,140810,11860,4.8,82,76,82,53
2025-01-09,Yoga Mat Plus,Sports,Fitness,3524,5,42,140607,6178,3.8,73,48,75,42
2025-01-09,Smart Watch Neo,Electronics,Wearables,2848,10,36,92275,6544,4.4,91,73,57,36
2025-01-09,Blender Max,Kitchen,Appliances,2374,5,39,87956,2249,4.2,62,89,41,39
2025-01-09,Running Shoes X,Footwear,Sportswear,2784,15,65,153816,8544,3.7,82,54,66,65
2025-01-09,Coffee Maker Lite,Kitchen,Appliances,4781,5,52,236181,6530,4.7,93,77,79,52
2025-01-09,LED Desk Lamp,Home,Lighting,2158,10,53,102936,6261,4.1,74,69,84,53
2025-01-09,Gaming Headset Z,Electronics,Accessories,3977,10,43,153909,4180,4.5,69,56,39,43
2025-01-09,Water Bottle Steel,Sports,Hydration,3632,15,27,83354,8269,4.3,70,86,52,27
2025-01-09,Wireless Mouse Pro,Electronics,Computing,4245,15,68,245361,11911,4.0,91,42,56,68
2025-01-10,Air Fryer Pro,Kitchen,Appliances,4988,5,29,137419,9956,3.7,87,81,51,28
2025-01-10,Yoga Mat Plus,Sports,Fitness,1323,5,57,71640,4593,3.7,85,84,56,56
2025-01-10,Smart Watch Neo,Electronics,Wearables,3096,0,51,157896,4878,4.0,76,65,65,51
2025-01-10,Blender Max,Kitchen,Appliances,2855,0,79,225545,3276,4.8,81,53,55,79
2025-01-10,Running Shoes X,Footwear,Sportswear,4923,5,62,289964,3646,4.6,77,77,64,62
2025-01-10,Coffee Maker Lite,Kitchen,Appliances,2706,0,35,94710,7750,4.0,69,78,46,35
2025-01-10,LED Desk Lamp,Home,Lighting,925,15,39,30663,8168,4.4,62,80,74,39
2025-01-10,Gaming Headset Z,Electronics,Accessories,1969,15,32,53556,6206,4.5,67,79,78,32
2025-01-10,Water Bottle Steel,Sports,Hydration,3272,20,70,183232,3761,3.8,65,76,62,70
2025-01-10,Wireless Mouse Pro,Electronics,Computing,2260,20,30,54240,3733,4.0,63,69,40,30
2025-01-11,Air Fryer Pro,Kitchen,Appliances,4317,0,50,215850,3063,4.4,83,70,35,50
2025-01-11,Yoga Mat Plus,Sports,Fitness,1267,15,37,39847,10195,3.5,89,77,80,37
2025-01-11,Smart Watch Neo,Electronics,Wearables,5089,10,24,109922,8469,4.8,63,58,49,24
2025-01-11,Blender Max,Kitchen,Appliances,1024,15,58,50483,6208,4.2,60,65,43,57
2025-01-11,Running Shoes X,Footwear,Sportswear,5215,20,61,254492,8988,4.2,92,45,79,61
2025-01-11,Coffee Maker Lite,Kitchen,Appliances,2839,5,50,134852,2260,3.6,61,52,69,50
2025-01-11,LED Desk Lamp,Home,Lighting,4513,15,62,237835,4832,3.7,74,63,67,62
2025-01-11,Gaming Headset Z,Electronics,Accessories,2838,10,33,84288,11310,4.7,73,50,38,33
2025-01-11,Water Bottle Steel,Sports,Hydration,3435,10,51,157666,7951,4.5,70,80,66,51
2025-01-11,Wireless Mouse Pro,Electronics,Computing,2114,20,47,79486,4898,4.4,85,43,54,47
2025-01-12,Air Fryer Pro,Kitchen,Appliances,1865,0,42,78330,8943,4.1,92,62,44,42
2025-01-12,Yoga Mat Plus,Sports,Fitness,1792,0,78,139776,4192,4.7,61,53,82,78
2025-01-12,Smart Watch Neo,Electronics,Wearables,4487,10,15,60574,3202,3.9,74,86,58,15
2025-01-12,Blender Max,Kitchen,Appliances,2835,10,71,181156,2419,4.8,92,76,56,71
2025-01-12,Running Shoes X,Footwear,Sportswear,1750,0,51,89250,6612,4.6,92,77,42,51
2025-01-12,Coffee Maker Lite,Kitchen,Appliances,5710,15,42,203847,8359,4.3,74,68,37,42
2025-01-12,LED Desk Lamp,Home,Lighting,4028,15,64,219123,2094,4.3,85,82,56,64
2025-01-12,Gaming Headset Z,Electronics,Accessories,2916,15,64,158630,8166,4.1,71,65,42,64
2025-01-12,Water Bottle Steel,Sports,Hydration,3805,5,46,166278,2827,4.3,63,44,66,46
2025-01-12,Wireless Mouse Pro,Electronics,Computing,926,5,50,43985,10795,4.0,68,68,43,50
2025-01-13,Air Fryer Pro,Kitchen,Appliances,4167,0,48,200016,7732,4.8,82,40,83,48
2025-01-13,Yoga Mat Plus,Sports,Fitness,5462,10,61,299863,7031,4.3,68,48,39,61
2025-01-13,Smart Watch Neo,Electronics,Wearables,4307,0,62,267034,9973,4.0,77,66,63,62
2025-01-13,Blender Max,Kitchen,Appliances,4400,10,15,59400,11146,4.1,83,64,36,15
2025-01-13,Running Shoes X,Footwear,Sportswear,5605,20,46,206264,6757,3.8,80,88,36,46
2025-01-13,Coffee Maker Lite,Kitchen,Appliances,5744,15,60,292944,5432,3.7,81,67,69,60
2025-01-13,LED Desk Lamp,Home,Lighting,5222,0,36,187992,4482,3.8,78,71,59,36
2025-01-13,Gaming Headset Z,Electronics,Accessories,3132,0,25,78300,6524,4.0,75,79,48,25
2025-01-13,Water Bottle Steel,Sports,Hydration,2865,0,46,131790,8645,4.1,89,77,80,46
2025-01-13,Wireless Mouse Pro,Electronics,Computing,5726,15,72,350431,8016,3.9,62,71,39,72
2025-01-14,Air Fryer Pro,Kitchen,Appliances,2281,10,33,67745,2054,3.7,66,68,37,33
2025-01-14,Yoga Mat Plus,Sports,Fitness,1632,0,76,124032,7954,3.8,67,86,66,76
2025-01-14,Smart Watch Neo,Electronics,Wearables,4475,5,68,289085,6547,4.7,80,53,60,68
2025-01-14,Blender Max,Kitchen,Appliances,1622,5,56,86290,8150,4.3,92,62,50,56
2025-01-14,Running Shoes X,Footwear,Sportswear,5042,20,54,217814,6177,4.7,64,59,40,54
2025-01-14,Coffee Maker Lite,Kitchen,Appliances,5641,5,63,337613,6566,3.5,79,44,66,63
2025-01-14,LED Desk Lamp,Home,Lighting,5829,0,23,134067,7619,4.8,83,56,39,23
2025-01-14,Gaming Headset Z,Electronics,Accessories,3479,10,41,128375,10173,4.1,91,56,79,41
2025-01-14,Water Bottle Steel,Sports,Hydration,3986,0,54,215244,10428,4.0,68,61,72,54
2025-01-14,Wireless Mouse Pro,Electronics,Computing,3341,15,24,68156,8809,4.2,93,62,66,24
2025-01-15,Air Fryer Pro,Kitchen,Appliances,874,5,70,58121,10232,3.9,76,76,54,70
2025-01-15,Yoga Mat Plus,Sports,Fitness,5483,20,51,223706,10041,3.7,86,70,35,51
2025-01-15,Smart Watch Neo,Electronics,Wearables,5626,5,74,395507,10646,4.2,76,65,50,74
2025-01-15,Blender Max,Kitchen,Appliances,5597,5,65,345614,5629,3.6,60,75,80,65
2025-01-15,Running Shoes X,Footwear,Sportswear,5689,20,27,122882,9679,4.7,94,73,84,27
2025-01-15,Coffee Maker Lite,Kitchen,Appliances,3511,20,38,106734,9479,3.8,79,58,64,38
2025-01-15,LED Desk Lamp,Home,Lighting,4720,10,24,101952,2153,4.1,68,48,69,24
2025-01-15,Gaming Headset Z,Electronics,Accessories,5936,0,64,379904,3240,4.4,84,78,64,64
2025-01-15,Water Bottle Steel,Sports,Hydration,5026,5,59,281707,5549,3.5,71,58,66,59
2025-01-15,Wireless Mouse Pro,Electronics,Computing,3915,10,64,225504,6090,4.8,76,49,84,64
2025-01-16,Air Fryer Pro,Kitchen,Appliances,4907,10,62,273810,3750,4.4,75,45,37,62
2025-01-16,Yoga Mat Plus,Sports,Fitness,4526,10,59,240330,5993,3.6,85,86,61,59
2025-01-16,Smart Watch Neo,Electronics,Wearables,5673,0,54,306342,2390,3.5,66,48,80,54
2025-01-16,Blender Max,Kitchen,Appliances,2321,10,30,62667,3500,4.1,89,78,64,30
2025-01-16,Running Shoes X,Footwear,Sportswear,5297,10,28,133484,9980,3.6,85,62,73,28
2025-01-16,Coffee Maker Lite,Kitchen,Appliances,838,0,57,47766,7468,4.4,72,57,62,56
2025-01-16,LED Desk Lamp,Home,Lighting,4911,20,29,113935,10502,4.1,93,69,84,28
2025-01-16,Gaming Headset Z,Electronics,Accessories,2604,20,58,120825,5810,3.6,88,88,58,57
2025-01-16,Water Bottle Steel,Sports,Hydration,5213,20,88,366995,3771,4.8,69,69,54,88
2025-01-16,Wireless Mouse Pro,Electronics,Computing,4230,15,40,143820,5760,3.6,73,69,79,40
2025-01-17,Air Fryer Pro,Kitchen,Appliances,945,20,49,37044,10056,4.4,71,76,66,49
2025-01-17,Yoga Mat Plus,Sports,Fitness,1738,15,53,78296,6805,4.8,83,50,42,53
2025-01-17,Smart Watch Neo,Electronics,Wearables,5667,10,67,341720,7429,4.3,69,82,63,67
2025-01-17,Blender Max,Kitchen,Appliances,1624,5,45,69426,2936,3.7,62,45,34,45
2025-01-17,Running Shoes X,Footwear,Sportswear,2596,0,87,225852,11788,3.8,94,89,47,87
2025-01-17,Coffee Maker Lite,Kitchen,Appliances,2909,0,57,165813,10194,4.6,72,86,54,56
2025-01-17,LED Desk Lamp,Home,Lighting,3176,15,37,99885,3640,4.0,87,68,38,37
2025-01-17,Gaming Headset Z,Electronics,Accessories,2018,0,52,104936,8881,4.6,68,54,69,52
2025-01-17,Water Bottle Steel,Sports,Hydration,2360,20,36,67968,9291,4.0,67,44,77,36
2025-01-17,Wireless Mouse Pro,Electronics,Computing,1713,20,64,87705,11903,4.4,64,52,46,64
2025-01-18,Air Fryer Pro,Kitchen,Appliances,3911,20,87,272205,4745,4.2,93,79,56,87
2025-01-18,Yoga Mat Plus,Sports,Fitness,2796,20,42,93945,3312,4.6,78,55,69,42
2025-01-18,Smart Watch Neo,Electronics,Wearables,2939,0,46,135194,8924,4.6,84,81,65,46
2025-01-18,Blender Max,Kitchen,Appliances,5086,10,45,205983,4469,3.7,64,82,74,45
2025-01-18,Running Shoes X,Footwear,Sportswear,1625,0,44,71500,5741,4.7,77,75,31,44
2025-01-18,Coffee Maker Lite,Kitchen,Appliances,1388,20,37,41084,11739,3.5,91,52,75,37
2025-01-18,LED Desk Lamp,Home,Lighting,2490,0,35,87150,9009,4.3,83,84,64,35
2025-01-18,Gaming Headset Z,Electronics,Accessories,1807,10,52,84567,7352,4.8,87,54,59,52
2025-01-18,Water Bottle Steel,Sports,Hydration,2884,20,41,94595,3265,4.7,76,51,51,41
2025-01-18,Wireless Mouse Pro,Electronics,Computing,1685,0,57,96045,10213,4.3,77,89,43,56
2025-01-19,Air Fryer Pro,Kitchen,Appliances,5599,20,80,358336,7043,4.5,66,68,40,80
2025-01-19,Yoga Mat Plus,Sports,Fitness,3904,10,38,133516,11645,4.1,63,56,64,38
2025-01-19,Smart Watch Neo,Electronics,Wearables,838,20,34,22793,5155,4.4,86,42,46,34
2025-01-19,Blender Max,Kitchen,Appliances,4253,15,60,216903,2988,4.7,75,76,49,60
2025-01-19,Running Shoes X,Footwear,Sportswear,2482,0,22,54604,2933,3.8,94,88,54,22
2025-01-19,Coffee Maker Lite,Kitchen,Appliances,1591,15,41,55446,7390,4.1,86,47,75,41
2025-01-19,LED Desk Lamp,Home,Lighting,1784,0,74,132016,8342,4.3,83,42,49,74
2025-01-19,Gaming Headset Z,Electronics,Accessories,1326,0,12,15912,3875,4.1,81,41,53,12
2025-01-19,Water Bottle Steel,Sports,Hydration,1383,10,79,98331,3389,4.8,91,50,74,79
2025-01-19,Wireless Mouse Pro,Electronics,Computing,1528,0,44,67232,4043,4.5,67,50,51,44
2025-01-20,Air Fryer Pro,Kitchen,Appliances,4562,0,49,223538,4720,4.2,91,89,62,49
2025-01-20,Yoga Mat Plus,Sports,Fitness,801,0,32,25632,3949,3.5,85,61,68,32
2025-01-20,Smart Watch Neo,Electronics,Wearables,3041,5,64,184892,5041,3.6,70,42,35,64
2025-01-20,Blender Max,Kitchen,Appliances,2856,0,59,168504,11631,3.9,71,47,37,59
2025-01-20,Running Shoes X,Footwear,Sportswear,2513,15,41,87578,10442,4.1,70,59,45,41
2025-01-20,Coffee Maker Lite,Kitchen,Appliances,1699,5,66,106527,2021,4.1,62,80,71,66
2025-01-20,LED Desk Lamp,Home,Lighting,4909,10,59,260667,3560,4.6,78,85,65,59
2025-01-20,Gaming Headset Z,Electronics,Accessories,5580,20,73,325872,4356,4.4,77,45,47,73
2025-01-20,Water Bottle Steel,Sports,Hydration,1461,20,33,38570,8236,4.0,74,72,36,33
2025-01-20,Wireless Mouse Pro,Electronics,Computing,4688,20,58,217523,2158,4.0,83,59,66,57
2025-01-21,Air Fryer Pro,Kitchen,Appliances,5411,15,26,119583,7631,4.3,74,73,65,26
2025-01-21,Yoga Mat Plus,Sports,Fitness,2597,5,80,197372,3394,3.9,71,42,74,80
2025-01-21,Smart Watch Neo,Electronics,Wearables,1329,20,40,42528,5591,4.0,89,62,71,40
2025-01-21,Blender Max,Kitchen,Appliances,1739,5,55,90862,2374,4.0,73,78,54,55
2025-01-21,Running Shoes X,Footwear,Sportswear,3955,5,54,202891,10219,3.8,64,40,69,54
2025-01-21,Coffee Maker Lite,Kitchen,Appliances,5355,15,39,177518,9062,4.1,70,49,32,39
2025-01-21,LED Desk Lamp,Home,Lighting,1429,5,79,107246,5432,4.1,79,47,72,79
2025-01-21,Gaming Headset Z,Electronics,Accessories,3160,15,41,110126,11499,3.5,71,76,78,41
2025-01-21,Water Bottle Steel,Sports,Hydration,4368,15,66,245044,3925,3.8,79,89,43,66
2025-01-21,Wireless Mouse Pro,Electronics,Computing,1768,20,47,66476,11235,3.6,60,74,35,47
2025-01-22,Air Fryer Pro,Kitchen,Appliances,3332,20,75,199920,10467,4.8,83,82,63,75
2025-01-22,Yoga Mat Plus,Sports,Fitness,5112,5,61,296240,11400,4.3,82,83,67,61
2025-01-22,Smart Watch Neo,Electronics,Wearables,4723,20,39,147357,11556,3.6,67,68,61,39
2025-01-22,Blender Max,Kitchen,Appliances,5412,5,57,293059,7238,4.7,69,69,79,56
2025-01-22,Running Shoes X,Footwear,Sportswear,4849,0,52,252148,2986,4.7,63,72,30,52
2025-01-22,Coffee Maker Lite,Kitchen,Appliances,3924,20,52,163238,10125,4.4,65,48,62,52
2025-01-22,LED Desk Lamp,Home,Lighting,5583,20,55,245652,2488,3.6,93,77,75,55
2025-01-22,Gaming Headset Z,Electronics,Accessories,2467,10,71,157641,5553,4.5,82,58,74,71
2025-01-22,Water Bottle Steel,Sports,Hydration,4512,0,66,297792,6806,4.2,78,68,54,66
2025-01-22,Wireless Mouse Pro,Electronics,Computing,2240,0,28,62720,10927,4.0,85,50,64,28
2025-01-23,Air Fryer Pro,Kitchen,Appliances,3815,5,50,181212,8228,4.6,61,45,57,50
2025-01-23,Yoga Mat Plus,Sports,Fitness,1977,0,74,146298,2011,3.7,74,83,65,74
2025-01-23,Smart Watch Neo,Electronics,Wearables,3630,10,60,196020,8570,3.5,82,82,84,60
